1,New York,Central Park,10022,"59th to 110th St., from Central Park West to 5th Ave., New York City, NY 10022",212-310-6600,http://www.centralparknyc.org,contact@centralparknyc.org,Sun - Sat 6:00 am - 1:00 am,More than 3 hours,No,"City walk sightseeing, Walking, Biking, Birdwatching, Tennis, Rock climbing, Inline skating, Cross-country skiing, Getting married, Swimming","For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. ","Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public.", Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!,"For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!",http://upload.wikimedia.org/wikipedia/commons/0/05/Southwest_corner_of_Central_Park%2C_looking_east%2C_NYC.jpg,40.783333,-73.966667
2,New York,The Metropolitan Museum of Art,10028,"1000 5th Ave, New York City, NY 10028-0198",+1 212-535-7710,http://www.metmuseum.org,visit@metmuseum.org,Sun - Thu 10:00 am - 5:30 pm; Fri - Sat 10:00 am - 9:00 pm,More than 3 hours,Yes,Dining,"At New York City's most visited museum and attraction, you will experience the best of human creativity from across the globe. ","With collections spanning more than 5,000 years of culture, from prehistory to the present.",The Metropolitan is a journey through the world's greatest art. One Met. Many Worlds. Where will the Met take you?,"At New York City's most visited museum and attraction, you will experience the best of human creativity from across the globe. With collections spanning more than 5,000 years of culture, from prehistory to the present, the Metropolitan is a journey through the world's greatest art. One Met. Many Worlds. Where will the Met take you?",http://upload.wikimedia.org/wikipedia/commons/7/70/Metropolitan_Museum_of_Art_entrance_NYC.JPG,40.779447,-73.96311
3,New York,Time Square,10036,"Broadway, New York City, NY 10036",(212) 768-1560,http://www.timessquarenyc.org/index.aspx,info@timessquarealliance.org,,,,"City walk sightseeing, Shopping	","Central area in NYC that has many shops, restaurants, office buildings and flashing billboards around it.","Central area in NYC that has many shops, restaurants, office buildings and flashing billboards around it.","Central area in NYC that has many shops, restaurants, office buildings and flashing billboards around it.","Central area in NYC that has many shops, restaurants, office buildings and flashing billboards around it.",http://upload.wikimedia.org/wikipedia/commons/4/47/New_york_times_square-terabass.jpg,40.75773,-73.985708
4,New York,The Museum of Modern Art (MoMA),10019,"11 West 53rd Street, New York City, NY 10019",+1 212-708-9400,http://www.moma.org,info@moma.org,Fri 10:30 am - 8:00 pm; Sat - Thu 10:30 am - 5:30 pm,More than 3 hours,Yes,Dining,The Museum of Modern Art's renowned collection of modern and contemporary art.,"It includes Vincent van Gogh's ""The Starry Night"" and Andy Warhol's ""Gold Marilyn Monroe,"" along with works by Jackson Pollock, Jasper Johns, Cindy Sherman, Elizabeth Murray, and many other great artists of our time. ","MoMA's collection also showcases photography, film, architecture, design, media, and performance art, and offers shopping and fine and casual dining options.","The Museum of Modern Art's renowned collection of modern and contemporary art includes Vincent van Gogh's ""The Starry Night"" and Andy Warhol's ""Gold Marilyn Monroe,"" along with works by Jackson Pollock, Jasper Johns, Cindy Sherman, Elizabeth Murray, and many other great artists of our time. MoMA's collection also showcases photography, film, architecture, design, media, and performance art, and offers shopping and fine and casual dining options.",http://upload.wikimedia.org/wikipedia/commons/8/8b/MoMa_NY_USA_1.jpg,40.761484,-73.977664
5,New York,Empire State Building,10118,"350 Fifth Avenue, Between 33rd and 34th Streets, New York City, NY 10118",+1 212-736-3100,http://www.esbnyc.com/explore,,,1-2 hours,Yes,,"Reigning as the world's tallest building from 1931 to 1970, the Empire State Building is known for its distinct Art Deco style. ","Construction of the renowned icon only took one year and 45 days, and logged more than 7 million man hours. This is the fastest construction to date for a project of its scale. Additionally, from classics like An Affair to Remember and Sleepless in Seattle to recent hits such as Oblivion and Elf, our place in pop culture has been solidified since our early days. In fact, over 200 movies and TV shows have featured the Empire State Building in them!","The world-famous Empire State Building offers unobstructed panoramic views of New York City and beyond from 8 a.M. Until 2 a.M. Daily. Our 86th and 102nd floor Observation Decks offer the two highest vantage points in New York City. Soaring 1,454 feet above Midtown Manhattan from base to antenna, the Empire State Building is the World's Most Famous Office Building. Named America's favorite building in a poll conducted by the American Institute of Architects, the Empire State Building is one of New York City's top tourist destinations. On a clear day, you can see up to five states from our Observation Decks - New York, New Jersey, Pennsylvania, Connecticut and Massachusetts. Guests can enjoy our outdoor viewing area on our open-air 86th floor Observatory, or our indoor climate-controlled viewing areas on the 86th and 102nd floors. We recently launched our new Multimedia Experience as well, which guides visitors through the extraordinary exhibits and breathtaking views with additional depth on the building's history in eight languages - including English, Spanish, French, Italian, Mandarin, Portuguese, Japanese and Korean. The Empire State Building aims to provide entertainment for guests of all ages. Bringing children? Have their picture taken with King Kong himself on our 80th floor from Thursdays through Mondays (12 p.M. Until 9 p.M.). Celebrating a first date or an anniversary? Enjoy romantic tunes from our saxophone player from 9 p.M. Until midnight every Thursday through Saturday night. Tickets can be purchased through our website. Our celebrated tower lights are often illuminated to commemorate holidays, events and special causes. In the Fall of 2012, we upgraded our tower lighting system from floodlights to one-of-a-kind LED tower lights. The state-of-the-art system allows customized lighting capabilities from a palette of over 16 million colors! To watch some of our recent light shows, visit our YouTube page.","The world-famous Empire State Building offers unobstructed panoramic views of New York City and beyond from 8 a.M. Until 2 a.M. Daily. Our 86th and 102nd floor Observation Decks offer the two highest vantage points in New York City. Soaring 1,454 feet above Midtown Manhattan from base to antenna, the Empire State Building is the World's Most Famous Office Building. Named America's favorite building in a poll conducted by the American Institute of Architects, the Empire State Building is one of New York City's top tourist destinations. On a clear day, you can see up to five states from our Observation Decks - New York, New Jersey, Pennsylvania, Connecticut and Massachusetts. Guests can enjoy our outdoor viewing area on our open-air 86th floor Observatory, or our indoor climate-controlled viewing areas on the 86th and 102nd floors. We recently launched our new Multimedia Experience as well, which guides visitors through the extraordinary exhibits and breathtaking views with additional depth on the building's history in eight languages - including English, Spanish, French, Italian, Mandarin, Portuguese, Japanese and Korean. The Empire State Building aims to provide entertainment for guests of all ages. Bringing children? Have their picture taken with King Kong himself on our 80th floor from Thursdays through Mondays (12 p.M. Until 9 p.M.). Celebrating a first date or an anniversary? Enjoy romantic tunes from our saxophone player from 9 p.M. Until midnight every Thursday through Saturday night. Tickets can be purchased through our website. Our celebrated tower lights are often illuminated to commemorate holidays, events and special causes. In the Fall of 2012, we upgraded our tower lighting system from floodlights to one-of-a-kind LED tower lights. The state-of-the-art system allows customized lighting capabilities from a palette of over 16 million colors! To watch some of our recent light shows, visit our YouTube page. Reigning as the world's tallest building from 1931 to 1970, the Empire State Building is known for its distinct Art Deco style. Construction of the renowned icon only took one year and 45 days, and logged more than 7 million man hours. This is the fastest construction to date for a project of its scale. Additionally, from classics like An Affair to Remember and Sleepless in Seattle to recent hits such as Oblivion and Elf, our place in pop culture has been solidified since our early days. In fact, over 200 movies and TV shows have featured the Empire State Building in them!",http://upload.wikimedia.org/wikipedia/commons/c/c7/Empire_State_Building_by_David_Shankbone_crop.jpg,40.748433,-73.985656
19,New York,Top of the Rock Observation Deck ,,"30 Rockefeller Center, New York City, NY",212 698 2000,http://www.topoftherocknyc.com,info@topoftherocknyc.com,Sun - Sat 8:00 am - 11:00 pm,,Yes,,"Top of the Rock Observation Deck, the newly opened, 3-tiered observation deck on the 67th, 69th and 70th floors of 30 Rockefeller Plaza, is New York City's most amazing attraction! ","The unforgettable experience includes a panoramic 360-degree, unobstructed view from the 70th floor observatory, 850 feet in the sky!"," Hours of Operation: 8:00 AM - Midnight, last elevator goes up at 11:00 PM.Main entrance is located on 50th Street between 5th & 6th Avenues.","Top of the Rock Observation Deck, the newly opened, 3-tiered observation deck on the 67th, 69th and 70th floors of 30 Rockefeller Plaza, is New York City's most amazing attraction! The unforgettable experience includes a panoramic 360-degree, unobstructed view from the 70th floor observatory, 850 feet in the sky! Hours of Operation: 8:00 AM - Midnight, last elevator goes up at 11:00 PM.Main entrance is located on 50th Street between 5th & 6th Avenues.",http://upload.wikimedia.org/wikipedia/commons/3/39/NYC_Top_of_the_Rock_Pano.jpg,40.759,-73.979
7,New York,Manhattan Skyline,,"New York City, NY",,,,,,Yes,Helicopter rides,,,,,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Above_Gotham.jpg/1920px-Above_Gotham.jpg,,
8,New York,The National September 11 Memorial & Museum,10281,"200 Liberty Street, World Trade Center, New York City, NY 10281",+1 212-312-8800,http://www.911memorial.org,info@911memorial.org,Sun - Sat 9:00 am - 8:00 pm,1-2 hours,Yes,Group tours/walking tour,"The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. ","The 9/11 Memorial consists of two massive pools set within the original footprints of the Twin Towers with 30-foot waterfalls cascading down their sides. The nearly 3,000 names of the men, women, and children killed in the attacks are inscribed into bronze parapets surrounding the twin Memorial pools. ","The 9/11 Memorial is open daily from 7:30 a.m. - 9:00 p.m. and is free to the public. The 9/11 Memorial Museum displays monumental artifacts linked to the events of 9/11, while presenting intimate stories of loss, compassion, reckoning and recovery that are central to telling the story of the 2001 and 1993 attacks and the aftermath. It also explores the global impact of 9/11 and its continuing significance. The 9/11 Memorial Museum is open Sun - Thu, 9:00 a.m. - 8:00 p.m., last entry at 6:00 p.m. and Fri and Sat, 9:00 a.m. - 9:00 p.m., last entry at 7:00 p.m. Tickets are required. Open Daily.","The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. The 9/11 Memorial consists of two massive pools set within the original footprints of the Twin Towers with 30-foot waterfalls cascading down their sides. The nearly 3,000 names of the men, women, and children killed in the attacks are inscribed into bronze parapets surrounding the twin Memorial pools. The 9/11 Memorial is open daily from 7:30 a.m. - 9:00 p.m. and is free to the public. The 9/11 Memorial Museum displays monumental artifacts linked to the events of 9/11, while presenting intimate stories of loss, compassion, reckoning and recovery that are central to telling the story of the 2001 and 1993 attacks and the aftermath. It also explores the global impact of 9/11 and its continuing significance. The 9/11 Memorial Museum is open Sun - Thu, 9:00 a.m. - 8:00 p.m., last entry at 6:00 p.m. and Fri and Sat, 9:00 a.m. - 9:00 p.m., last entry at 7:00 p.m. Tickets are required. Open Daily.",http://upload.wikimedia.org/wikipedia/commons/5/51/WTCmemorialJune2012.png,40.711694,-74.013611
14,New York,Frick Collection,10021,"1 E. 70th St., Fifth Ave., New York City, NY 10021",212-288-0700,http://www.frick.org,info@frick.org,Sun 11:00 am - 5:00 pm; Tue - Sat 10:00 am - 6:00 pm,,,Arts and crafts,Henry Frick once resided in this 18th-century French-style mansion;,Now its the home of his impressive art collection.,"It includes Titian, Vermeer, Rembrandt, El Greco, Goya, Whistler and more.","Henry Frick once resided in this 18th-century French-style mansion; now its the home of his impressive art collection, which includes Titian, Vermeer, Rembrandt, El Greco, Goya, Whistler and more.",http://upload.wikimedia.org/wikipedia/commons/4/41/Henry_C_Frick_House_001.JPG,40.7712,-73.9673
10,New York,World Trade Center site: Ground Zero,10014,"420 West 14th Street, Floor 2, New York City, NY 10014",+1 212-209-3370,http://groundzeromuseumworkshop.org,GroundZeroTICKET@aol.com,Sun 11:30 am - 4:30 pm; Mon - Sat 10:30 am - 4:30 pm,,,,"Ground Zero Museum Workshop: Images & Artifacts from the Recovery. Want to feel what it was like to be with FDNY Firefighters on the front lines after the 9/11 attacks? Want to educate your kids about this tough subject in a gentle and non-threatening way? Before you visit the 9/11 Memorial at Ground Zero, experience the Stunning Images by Official Ground Zero Photographer Gary Marlon Suson."," ""Rare Photos"" (New York Times) are displayed, some in lifelike 3D installations, as well as artifacts & rare video. Rated in Trip Advisor's ""Top 25 Museums in the USA"" for 2013 and 2014. Guests are allowed to hold World Trade Center artifacts. Daily 2-hour tours include self-guided audio narration in Dolby Stereo, in English, Italian, French and Spanish. Proceeds shared with 9/11 Charity. ","Incredible Images says Fox News Channel. Known worldwide as the ""Biggest LITTLE Museum in New York."" The ""first stop"" before heading to visit Ground Zero. On display are ""The Frozen Clock"" - ""The Bible Page"" and many more well-known images featured on FOX NEWS and CNN. Small gift area sells books and posters. The Only 9/11 Museum in NYC that donates to FDNY charities. No graphic footage nor images from 9/11 are shown at GZMW. Tastefully and realistically presented.","Ground Zero Museum Workshop: Images & Artifacts from the Recovery. Want to feel what it was like to be with FDNY Firefighters on the front lines after the 9/11 attacks? Want to educate your kids about this tough subject in a gentle and non-threatening way? Before you visit the 9/11 Memorial at Ground Zero, experience the Stunning Images by Official Ground Zero Photographer Gary Marlon Suson. ""Rare Photos"" (New York Times) are displayed, some in lifelike 3D installations, as well as artifacts & rare video. Rated in Trip Advisor's ""Top 25 Museums in the USA"" for 2013 and 2014. Guests are allowed to hold World Trade Center artifacts. Daily 2-hour tours include self-guided audio narration in Dolby Stereo, in English, Italian, French and Spanish. Proceeds shared with 9/11 Charity. ""Incredible Images"" says Fox News Channel. Known worldwide as the ""Biggest LITTLE Museum in New York."" The ""first stop"" before heading to visit Ground Zero. On display are ""The Frozen Clock"" - ""The Bible Page"" and many more well-known images featured on FOX NEWS and CNN. Small gift area sells books and posters. The Only 9/11 Museum in NYC that donates to FDNY charities. No graphic footage nor images from 9/11 are shown at GZMW. Tastefully and realistically presented.",http://upload.wikimedia.org/wikipedia/commons/d/db/Aerial_photo_of_WTC_groundzero.jpg,40.711641,-74.012253
